name,party,country,norm_name
Emma FOURREAU,The Left group in the European Parliament - GUE/NGL,France,EMMA FOURREAU
Emmanouil FRAGKOS,European Conservatives and Reformists Group,Greece,EMMANOUIL FRAGKOS
Daniel FREUND,Group of the Greens/European Free Alliance,Germany,DANIEL FREUND
Anne-Sophie FRIGOUT,Patriots for Europe Group,France,ANNE-SOPHIE FRIGOUT
Sigrid FRIIS,Renew Europe Group,Denmark,SIGRID FRIIS
Heléne FRITZON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,HELÉNE FRITZON
Tomasz FROELICH,Europe of Sovereign Nations Group,Germany,TOMASZ FROELICH
Niels FUGLSANG,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Denmark,NIELS FUGLSANG
Kathleen FUNCHION,The Left group in the European Parliament - GUE/NGL,Ireland,KATHLEEN FUNCHION
Angéline FURET,Patriots for Europe Group,France,ANGÉLINE FURET
Mario FURORE,The Left group in the European Parliament - GUE/NGL,Italy,MARIO FURORE
Michael GAHLER,Group of the European People's Party (Christian Democrats),Germany,MICHAEL GAHLER
Kinga GÁL,Patriots for Europe Group,Hungary,KINGA GÁL
Estrella GALÁN,The Left group in the European Parliament - GUE/NGL,Spain,ESTRELLA GALÁN
Lina GÁLVEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,LINA GÁLVEZ
Alberico GAMBINO,European Conservatives and Reformists Group,Italy,ALBERICO GAMBINO
Iratxe GARCÍA PÉREZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,IRATXE GARCÍA PÉREZ
Raquel GARCÍA HERMIDA-VAN DER WALLE,Renew Europe Group,Netherlands,RAQUEL GARCÍA HERMIDA-VAN DER WALLE
Jean-Paul GARRAUD,Patriots for Europe Group,France,JEAN-PAUL GARRAUD
Kamila GASIUK-PIHOWICZ,Group of the European People's Party (Christian Democrats),Poland,KAMILA GASIUK-PIHOWICZ
Geadis GEADI,European Conservatives and Reformists Group,Cyprus,GEADIS GEADI
Hanna GEDIN,The Left group in the European Parliament - GUE/NGL,Sweden,HANNA GEDIN
Alexandra GEESE,Group of the Greens/European Free Alliance,Germany,ALEXANDRA GEESE
Jens GEIER,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,JENS GEIER
Thomas GEISEL,Non-attached Members,Germany,THOMAS GEISEL
Chiara GEMMA,European Conservatives and Reformists Group,Italy,CHIARA GEMMA
Giorgos GEORGIOU,The Left group in the European Parliament - GUE/NGL,Cyprus,GIORGOS GEORGIOU
Gerben-Jan GERBRANDY,Renew Europe Group,Netherlands,GERBEN-JAN GERBRANDY
Jean-Marc GERMAIN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,JEAN-MARC GERMAIN
Gabriella GERZSENYI,Group of the European People's Party (Christian Democrats),Hungary,GABRIELLA GERZSENYI
Niels GEUKING,Group of the European People's Party (Christian Democrats),Germany,NIELS GEUKING
Jens GIESEKE,Group of the European People's Party (Christian Democrats),Germany,JENS GIESEKE
Borja GIMÉNEZ LARRAZ,Group of the European People's Party (Christian Democrats),Spain,BORJA GIMÉNEZ LARRAZ
Juan Carlos GIRAUTA VIDAL,Patriots for Europe Group,Spain,JUAN CARLOS GIRAUTA VIDAL
Sunčana GLAVAK,Group of the European People's Party (Christian Democrats),Croatia,SUNČANA GLAVAK
Andreas GLÜCK,Renew Europe Group,Germany,ANDREAS GLÜCK
Raphaël GLUCKSMANN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,RAPHAËL GLUCKSMANN
Charles GOERENS,Renew Europe Group,Luxembourg,CHARLES GOERENS
Christophe GOMART,Group of the European People's Party (Christian Democrats),France,CHRISTOPHE GOMART
Isilda GOMES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,ISILDA GOMES
Sandra GÓMEZ LÓPEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,SANDRA GÓMEZ LÓPEZ
Bruno GONÇALVES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,BRUNO GONÇALVES
Sérgio GONÇALVES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,SÉRGIO GONÇALVES
Nicolás GONZÁLEZ CASARES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,NICOLÁS GONZÁLEZ CASARES
Esteban GONZÁLEZ PONS,Group of the European People's Party (Christian Democrats),Spain,ESTEBAN GONZÁLEZ PONS
Giorgio GORI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,GIORGIO GORI
Małgorzata GOSIEWSKA,European Conservatives and Reformists Group,Poland,MAŁGORZATA GOSIEWSKA
Dirk GOTINK,Group of the European People's Party (Christian Democrats),Netherlands,DIRK GOTINK
Sandro GOZI,Renew Europe Group,France,SANDRO GOZI
Maria GRAPINI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,MARIA GRAPINI
Petras GRAŽULIS,Europe of Sovereign Nations Group,Lithuania,PETRAS GRAŽULIS
Markéta GREGOROVÁ,Group of the Greens/European Free Alliance,Czechia,MARKÉTA GREGOROVÁ
Branko GRIMS,Group of the European People's Party (Christian Democrats),Slovenia,BRANKO GRIMS
Catherine GRISET,Patriots for Europe Group,France,CATHERINE GRISET
Hanna GRONKIEWICZ-WALTZ,Group of the European People's Party (Christian Democrats),Poland,HANNA GRONKIEWICZ-WALTZ
